timestamp,accumulated_power,heart_rate,137,138,enhanced_speed,power,90,cadence,distance
2023-10-08 12:31:58+00:00,276,90.0,100.0,100.0,3.312,276.0,,88.0,0.0
2023-10-08 12:31:59+00:00,678,90.0,100.0,100.0,3.798,402.0,,88.0,3.68
2023-10-08 12:32:00+00:00,1059,93.0,100.0,100.0,3.798,381.0,,88.0,8.31
2023-10-08 12:32:01+00:00,1480,94.0,100.0,100.0,3.798,421.0,,87.0,12.78
2023-10-08 12:32:02+00:00,1946,95.0,100.0,100.0,4.217,466.0,,87.0,17.3
2023-10-08 12:32:03+00:00,2415,102.0,100.0,100.0,4.255,469.0,,87.0,21.9
2023-10-08 12:32:04+00:00,2883,103.0,100.0,100.0,4.255,468.0,,87.0,25.91
2023-10-08 12:32:05+00:00,3349,104.0,100.0,100.0,4.255,466.0,,88.0,30.3
2023-10-08 12:32:06+00:00,3797,108.0,100.0,100.0,4.329,448.0,,88.0,34.74
2023-10-08 12:32:07+00:00,4246,108.0,100.0,100.0,4.329,449.0,,88.0,38.82
2023-10-08 12:32:08+00:00,4697,110.0,100.0,100.0,4.329,451.0,,87.0,43.11
2023-10-08 12:32:09+00:00,5135,112.0,100.0,100.0,4.283,438.0,,87.0,46.94
2023-10-08 12:32:10+00:00,5563,119.0,100.0,100.0,4.255,428.0,,87.0,51.16
2023-10-08 12:32:11+00:00,5990,121.0,100.0,100.0,4.217,427.0,,87.0,54.42
2023-10-08 12:32:12+00:00,6412,124.0,100.0,100.0,4.18,422.0,,87.0,57.95
2023-10-08 12:32:13+00:00,6819,124.0,100.0,100.0,4.059,407.0,,87.0,61.65
2023-10-08 12:32:14+00:00,7215,125.0,100.0,100.0,4.003,396.0,,87.0,65.91
2023-10-08 12:32:15+00:00,7619,128.0,100.0,100.0,4.003,404.0,,87.0,70.07
2023-10-08 12:32:16+00:00,8030,134.0,100.0,100.0,4.012,411.0,,86.0,73.57
